M001,"A-1 GARMENT CO.,","18/BO TAY ZA ST, SHWE PAUKKAN, N/OKKALAPA."
M112,"MYANMAR PYONE PAN TAYAR INDY CO.,","NO.23/150 (B) , HAR KHAR ST, INDUSTRIAL ZONE (1), SOUTH DAGON MYOTHIT TSP, YANGON."
M113,MYANMAR S.M.C G,"BLOCK NO. 574, LOT NO. 2/3 KA+3/1, KHA+ 2/4 KA, KYUNN TAW NORTH BLOCK, SATTHWARDAW VILLAGE, HMAWBI TOWNSHIP, YANGON."
M114,"MYANMAR SEIN PANN GARMENT MFG., CO.,","NO.(511/A), HAKHA STREET, INDUSTRIAL ZONE (1), DAGON MYOTHIT (SOUTHERN) TOWNSHIP, YANGON."
M115,"MYANMAR SOLAMODA G. CO.,","PLOT NO. (139). MIN AYEYAR ROAD SHWE THAN, LWIN INDUSTRIAL ZONE, HLAING THANYAR TSO, YANGON"
M116,"MYANMAR SYNERGY GARMENT CO.,","NO. (18/19), DEPE YIN WUN HTAUK U MYAE ST, INDUSTRIAL ZONE (2), HLAING THARYAR TSP, YANGON."
M117,"MYANMAR TAH HSIN INDUSTRIAL CO.,","PLOT NO. D1-D2/ MINGALARDON INDUSTRIAL PARK, MINGALARDON TSP."
M118,MYANMAR UNGARAN INDAH BUSANA,"122/124, WET MA SUT WUN HTAUK ST., I.ZONE(3) , SHWE PYI THAR TSP."
M119,"MYANMAR UNIQUE GARMENT MFG., CO.,","NO.129/KAGYI AND 129/KHA KWAY, WATMASUT WUNHTAUK ROAD, HLAING THARYAR INDUSTRIAL ZONE (4), HLAING THARYAR TOWNSHIP, YANGON."
M120,"MYANMAR YES CO.,","64/ DE PEYIN WUN HTAUK U MYAE ST, I.Z(3), HLAING THARYAR."
M121,"MYANMAR YORK FASHION CO.,","NO. 168, KYANSITTHAR STREET, INDUSTRIAL ZONE (4), HLAING THARYAR TOWNSHIP, YANGON."
M122,"MYANSTAR GARMENT CO.,","WARD(9), OAKTHA MYOTHIT BAGO I.Z ESTATE"
M123,"MYIN THAR MFG. CO.,","32/ KONE MYINT YEIK THAR ST, 7 MILE, MAYANGONE"
M124,"MYIN ZA YI CO.,","NO.53/54, KANAUNG MIN THAR GYI RD, SHWE PAUK KAN INDUSTRIAL ZONE, YANGON."
M125,"MYUE & SUE GARMENT CO.,","NO.82, 64-65/ PYINSEMINTHARGYI ST, IZ(4), HLAING THARYAR."
M126,"NADIA PACIFIC APPAREL CO.,","PLOT NO.107, U TUN NYO STREET, INDUSTRIAL ZONE (2), HLAING THARYAR TSP, YANGON."
M127,"NEO PACIFIC APPAREL CO.,","NO. 107/138, U TUN NYO STREET, NONE(2), HLAING THARYAR TOWNSHIP, YANGON."
M128,"NEW GREEN LAND GARMENT CO.,","NO.44. NO.3. ROAD, PYINMABIN , MINGALARDON I.Z . MINGALARDON"
M129,"NEW WAY INDUSTRIES CO.,","180B/ U TA YOKE GYI ST, I.Z(4), HLAING THARYAR"
M130,"NEXSTAR GARMENT MFG; CO.,","PLOT NO. (127), THAN CHET WUN U NYUT ROAD, HLAING THARYAR INDUSTRIAL ZONE (1), HLAING THARYAR TSP, YANGON."
M131,"NGWE KANT KAW INDY CO.,","NO.161/ 162, INDUSTRIAL ZONE (5), HLAING THARYAR TSP, YANGON."
M132,NICE FASHION GARMENT INDY,"304(B), W 42, NO.4, MAIN RD., I.Z SHWE PYI THAR. 82/32ND ST, PABEDAN TSP."
M133,"NILAR WIN CO.,","227-228/ BOTAYZA ST, SHWE PAUKKAN I.Z, N/OKKALAPA TOWNSHIP."
M134,"NIRVANA LIGHT MFG., CO.,","NO(1), MINKYAUNG ST, KYAIK WAING PAGODA RD, MAYANGONE T/S."
M135,"NORTH SHORE GROUP CO.,","PLOT NO. (16,17 & 18) MYAWADDY MIN GYI ROAD, INDUSTRIAL ZONE (4), HLAING THARYAR TSP, YANGON."
M136,"ONRUSH MFG., CO.,","100/ BAWGABALA ST, I.Z, N/OKKALAPA"
M137,"OPAL INT'L CO.,","14/15, INDUSTRIAL ZONE (2), HLAING THARYAR TOWNSHIP."
M138,"PACIFIC GARMENT MFG.  CO.,","2773/ BAGO RIVER ST., (63) WARD , SOUTH DAGON TSP."
M139,"PANDA TEXTILE CO.,","NO.(8/13), KYAN SIT THAR ST, INDUSTRIAL ZONE (3), HLAING THAR YAR TSP, YANGON."
M140,"PARAGON PRINTING MANUFACTURING CO.,","NO. (104/B), INDUSTRIAL ZONE(1), DAGON MYOTHIT SEIKKAN TOWNSHIP, YANGON."
M141,"PATTAYA MYANMAR CO.,","NO.(16), PANCHATWUN U SHWE OWE ROAD, INDUSTRIAL ZONE (2), HLAING THARYAR TOWNSHIP YANGON."
M142,"PEARL GARMENT CO.,","NO36B, BAN MAW ATWIN WUN STEET, INDUSTRIAL ZONE 3, HLAING THARYAR TSP, YANGON."
M143,"POPULAR INTERNATIONAL G MFG., CO.,","29/ BAN MAW ATWIN WUN ST, INDUSTRIAL ZONE (3), HLAING THARYAR TSP."
M144,"PRINCESS POWER MFG CO.,","18/212, KANUAUNG MINTHARGYI ST, SHWE PAUK KAN INDUSTRIAL ZONE (1)."
M145,"REAL STAR MANUFACTURING CO.,","NO. 2/26 KANAUNG MINTHARGYI ROAD, DAGON SEIKKAN INDUSTRIAL ZONE, YANGON."
M146,"RISING WHITE TIGER MFG., CO.,","NO.160, MINGYI MAHA MIN GAUNG STREET, SHWE LIN BAN INDUSTRIES ZONE. HLAING THAR YAR TOWNSHIP."
M147,"ROMP INTERNATIONAL MYANMAR CO.,","PLOT NO.(84,65), SETMU, U MYAE ROAD, SHWE PYI THAR TSP, YANGON."
M148,"ROYAL MOON STAR GMT. MFG. CO.,","NO.(881/16), NYAUNG YANG STREET, SHWE PAUK KAN INDUSTRIAL ZONE, NORTH OKKALAPA TSP, YANGON."
M149,"ROYAL WHITE ELEPHANT CO.,","27/ SITE PYO YAE ST, SERVICE QTR, THANLYIN TOWNSHIP."
M150,"S.M.K GARMENT CO.,","NO. (104), 14 WARDS, MINGYI MAHAR MIN GAUNG STREET, SHWETHANLWIN INDUSTRIAL ZONE, HLAINGTHARYAR TSP, YANGON."
M151,"SAI MYINT TUN AUNG INDUSTRIES CO.,","NO.39, MIN THEIKDI KYAW SWAR STREET, SHWE LIN BAN INDUSTRIAL ZONE, HLAING THAR YAR TSP. GMAIL.COM,"
M152,"SAKURA GARMENT CO.,","74/ PHAN CHET WUN U SHWE OWE ST.,I.Z(3), HLAING THARYAR."
M153,"SANDAR HEIN  INDUSTRIES CO.,","2728/ AYEYARWADDY ST., (63)WARD , I.ZONE (2) , SOUTH DAGON TSP."
M154,"SDI MANUFACTURING CO.,","PLOT NO (40), MYAY TAING QUARTER NO. (24), NGWE PIN LEI INDUSTRIAL ZONE (1), HLAING THARYAR TSP, YANGON."
M155,"SEIN SANDAR INT'L CO.,","104/ SEIKKANTHAR ST, I.Z(3) (EXTEND), HLAING THARYAR."
M156,"SHINING ACCESS GARMENT CO.,","159/ SET HNU (2) STREET, INDUSTRIAL ZONE (1), SHWE PYI THAR TOWNSHIP."
M157,"SHINSUNG TONGSANG INT'L CO.,","PLOT 20-23, 32-36, KANAUNG MINTHARGYI ROAD, SHWE PAUK KAN INDUSTRIAL ZONE, NORTH OKKALAPA TSP, YANGON."
M158,SHWE  TAUNG  GARMENT,"NO.120 / BO AUNG KYAW ST., I.ZONE (5) , HLAING THARYAR TSP."
M159,"SHWE KYAR PANN INDY CO.,","83/DEPEYIN WUNHTAUK U MYAE ST, ZONE(2), HLAING THARYAR."
M160,"SHWE MINGALAR CO.,","25-26/YANGON INDUSTRIAL ZONE, N/OKKALAPA TOWNSHIP."
M161,"SHWE SAKAR CO.,","NO.198, THAMARDI STREET, INDUSTRIAL ZONE(1), DAGONSEIKKAN TSP, YANGON."
M162,"SHWE YWET HLA MFG., CO.,","NO.86, AUNG ZAYA STREET, INDUSTRIAL ZONE (7), HLAING THARYAR TSP, YANGON."
M163,SHWE ZIN AYE CO-OP,"NO.(56), U PHO HLAING ST, SHWE PAUK KAN INDUSTRIAL ZONE."
M164,"SHWEYI ZABE GARMENT MFG., CO.,","AHKWAT NO.(25) MYAT EINYAR, LANE(1), I.Z(3), SHWE PYI THAR TSP."
M165,"SILK GARMENT INDUSTRIAL CO.,","473/ MOGOKE ST, (23) WARD I .Z(1), S/DAGON"
M166,"SKY APPAREL GROUP CO.,","NO.7, SUNSET ROAD, WEST YWAMA, INSEIN TSP, YANGON."
M167,"SOUTH BAY MFG; CO.,","PLOT NO,(17) DE PAE YIN WUN DAUK, U MYAE ST, HLAING THARYAR INDUSTRIAL ZONE(1), HLAING THARYAR TSP, YANGON."
M168,"SPACE-AGE MFG CO.,","PLOT NO. 43/1, WARD NO 538(A), NO.4 ROAD, SHWE PYI THAR TSP, YANGON."
M169,"STARTEX MFG., CO.,","39/50, SET HMU MAIN RD, I.Z(2), SHWE PYITHAR."
M170,"SU LAT YADANAR GARMENT CO.,","NO.(33/34), THILAWAR MAIN ROAD, THILAWAR INDUSTRIAL ZONE, KYAUKTAN TSP, YGN."
M171,"SU YU EI CO.,","NO.15/ PYAY RD., SATTHWARDAW QUARTER, HMAWBI TSP."
M172,"SUCCESS CREATOR CO.,","NO.(SA/316, 317), PHAYAR ZAWDI ST, (6) WARD, 8 (MILES), PAUK SATI NEAR, MAYANGON TSP, YANGON. , NO.(282/283) MIN GYI MAHAR MIN GAUNG STREET AND U TAYOKE GYI STREET CONNER, SHWE LIN PAN INDUSTRIAL ZONE, HLAIN THAR YAR TSP. YANGON."
M173,"SUITSTAR GARMENT CO.,","WARD 9, OKATHA MYOTHIT, BAGO TSP, YANGON."
M174,"SUN APPAREL MYANMAR CO.,","NO.(87), MALIKHA STREET, INDUSTRIAL ZONE (5), HLAING THARYAR TSP, YANGON."
M175,"SUN-FLOWER LACE CO.,","NO. D-7, D-9, MINGALADON INDUSTRIAL PARK, MINGALADON TOWNSHIP, YANGON."
M176,"SUNSHINE GARMENT CO.,","18/ 216-217-218 KANAUNG MINTHARGYI ST, SHWEPAUKKAN I.Z, N/OKKALAPA."
M177,"SUPER GARMENT CO.,","42/ 128, SET HWU 8TH ST, I.Z(1) SHWE PYI THAR."
M178,SUPREME ASIA GARMENT FACTORY,"PLOT NO.(33), NO.(42), INGYIN MYAING STREET, INDUSTRIAL ZONE (1), SHWE PYI THAR TSP, YANGON."
M179,"T.I GARMENT CO.,","PLOT D-4, MINGALARDON INDUSTRIAL PARK, MINGALARDON"
M180,"TAILOR GARMENT MFG CO.,","NO.(103), WET MA SOAT WUN HTAUK ST, INDUSTRIAL ZONE (3), HLAING THAR YAR TSP, YANGON."
M181,"TAW WIN MYANMAR  CO.,","NO.41A / KANAUNG MINTHARGYI ST., I.ZONE(1) , HLAING THARYAR TSP."
M182,"TEK NAY WUNN NI MFG CO.,","NO.55, CONNER OF MINGYI MAHA MIN GAUNG ROAD, SHWE LIN BAN INDUSTRIES ZONE. HLAING THARYAR TSP."
M183,"TEXTILE HANDWORKS CO.,","NO.9 PHAN CHAT WUN U SHWE OH ST, ZONE (2) HLAING THAYARTSP."
M184,"THE MYTH APPAREL MYANMAR CO.,","NO-120, SHWE BO STREET, INDUSTRIAL ZONE (7), HLAINGTHARYAR TSP, YANGON."
M185,"THE RED STONE  CO.,","42/ 152-153 , I.ZONE(3) STREET, SHWE PYI THAR TSP."
M186,THIRI SANDAR G.& GENERAL TRADING CO-OP SOCIETY,"LOWER MINGALARDON RD, AUNG SAN WARD, INSEIN."
M187,"THU KHA MANDAING MFG., CO.,","72, KANAUNG MINTHARGYI ST, I.Z(1), 42 W, SHWEPYITHAR."
M188,"THY GARMENT CO.,","NO.19/381, KANAUNG MINTHARGYI ST, SHWE PAUK KAN INDUSTRIA ZONE, YANGON."
M189,"TOE MYAT AUNG MFG CO.,","NO.109, BO AUNG KYAW STREET, SHWE THAN LWIN, INDUSTRIAL ZONE, HLAING THAR YAR TSP, YANGON."
M190,"TOKYO IN MYANMAR CO.,","PLOT NO. (A-10), MINGALARDON INDUSTRIAL PARK, MINGALARDON TSP, YANGON."
M191,"TOP BANNER CO.,","NO.173 (A+B), STRAND ROAD, INDUSTRIAL ZONE (4), HLAING THARYAR TSP, YGN."
M192,"TOUGH WAY GARMENT MFG CO.,","NO. 42/52, KANAUNG MIN THAR GYI STREET, INDUSTRIAL ZONE(1), SHWE PYI THAR TSP, YANGON."
M193,"TRI SEA CO.,","(G.P) 224, KANAUNGMINTHARGYI ST, I.Z(2), HLAING THARYAR."
M194,"TRISTATE MYANMAR CO.,","NO.42, PYIN MA BIN INDUSTRIAL PARK, HTAUK KYANT, MINGALARDON TSP, YANGON."
M195,"TRUE FAITH CO.,","NO.60/75,CORNER OF BOTAZA ST & INWA ST, SHWE PAUK KAN INDUSTRIA ZONE, NORTH OKKALAPA TSP, YANGON."
M196,"TYCOON INT'L CO.,","122/PHAN CHET WUN U MYUE ST, I.Z(1), HLAING THARYAR."
M197,"U.M.H CO.,","28(A)/538(A), NO.4, MAIN RD, SHWE PYI THAR, YANGON, NO.(441), PYINMAPIN ROAD, HTAUKYANT, MINGALARDON TSP, YANGON."
M198,"UNIQUE HTT CO.,","NO. (13), NO. (25), CONNER OF U SHWE SIN ROAD & U MY ROAD, SHWE LIN PAN INDUSTRIAL ZONE, HLAING THARYAR TSP, YANGON."
M199,UNITED WORLD GARMENT CO,NO. 45 (A/B) KANOUNG MINTHARGYI STREET. SHWE PYI THAR INDUSTRIAL ZONE-1.
M200,"UNITY SPORTS CO.,","MYAY TAING NO.25, PLOT NO.397, MYA TAUNG WUN U HMO STREET, SHWE LIN BAN INDUSTRIAL ZONE, HLAING THARYAR TOWNSHIP, YANGON."
M201,"UNIVERSAL APPAREL CO.,","NO.24, PLOT NO.6, NGWE PIN LAE, THAUNG KYI NORTH, INDUSTRIAL ZONE, YANGON."
M202,"VERSATILE CO.,","221, MYINWUN U AG THU ST, I.Z(2), HLAING THARYAR."
M203,"VOGUE GARMENT CO.,","NO.42/43 INDUSTRIAL ROAD, INDUSTRIAL ZONE-1, SHWEPYITHAR TSP. YANGON."
M204,"WA MINN MINING CO.,","NO.139(B), CONNER OF U TUN NYO STREET & SAYARSAN STREET, INDUSTRIAL ZONE (2), HLAINGTHARYAR TSP, YANGON."
M205,"WENG HONG HUNG GARMENT MFG.,  (YGN) CO.,","NO.78, U SHWE OAE RD, I.Z(3), HLAING THARYAR."
M206,"WHITE CRANE TEXTILE CO.,",NO.273-272 MIN GYI MA HAR MIN KHANG STREET . SHWE LINPAN INDUSTRIAL . ZONE (2).
M207,"WHITE OWL FASHION CO.,","NO.41. U MYU ST, INDUSTRIAL ZONE (4), SHWE PYI THAR TSP, YANGON."
M208,"WIN GARMENT MFG. CO.,","182, MAKHAYAR MINTHARGYI MG PYO ST., I.Z(2), HLAING THARYA."
M209,"WIN GLORY INTERNATIONAL MFG CO.,","NO.(42), BAMAW AHTWIN WUN ST, INDUSTRIAL ZONE (3), HLAING THAR YAR TSP, YANGON."
M210,"WIN MAPLE CO.,","TAUNG THONE LONE VILLAGE, SHWEMINWUN STREET, BAGO DIVISION."
M211,"WINNER WORLD GARMENT MFG.,CO.,","NO.5/6/7, MYITKYINAR ST, ZONE(1), SOUTH DAGON, TOWNSHIP."
M212,"WORLD APPAREL MFG., CO.,","PLOT NO. (64), NO.(139/149), SHWE PYI THAR BRIDGE RD, INDUSTRIAL ZONE (3), SHWE PYI THAR TOWNSHIP, YANGON."
M213,"WORLD FASHION CO.,","NO.84, THAN CHAT WUN U NYUNT STREET, INDUSTRIAL ZONE (2), SHWE PYI THAR TSP."
M214,"WORLD FULL'S MFG.,CO.,","35(A), BAMAW AHTWINWUN ST, I.Z(2), DAGON SEIKKAN."
M215,"YANGON KNITTERS INDY CO.,","NO.(71), (2) STREET, MINGALARDON GARDEN CITY, YANGON INDUSTRIAL ZONE, NORTH OKKALAPA TSP, YANGON."
M216,"YANGON LOTUS GARMENT CO.,","109/ MAKHAYAR MTG MG PYOE ST., I.Z(2), HLAING THARYAR."
M217,"YANGON PAN-PACIFIC INT'L CO.,","29/1, KAMARKYI RD, THUWUNNA, THINGANGYUN TSP."
M218,YANGTZEKIANG INDUSTRIES (MYANMAR),"NO.7, BAGO INDUSTRIAL ESTATE."
M219,YOUNG CLOTHING,"PLOT NO. (182/2) & (182/11), SHWE LIN PAN INDUSTRIAL ZONE, HLAING THARYAR TOWNSHIP, YANGON."
M220,"ZIN YAW PHYU CO.,",127/ PHAN CHAT WUN U NYO ST. HLAINGTHARYAR.
M221,ZKG (MYM),"NO.271, WARD 25TH, CORNER OF PANBE GAUNG MAUNG KHET ST, U TAYOKE STREET, SHWE LIN PAN INDUSTRIAL ZONE, HLAING THAR YAR TSP, YANGON."
M222,"ZUYUAN EDENWEISS SANWA INDUSTRY CO.,","NO.82, U CHEIN STREET, INDUSTRIAL ZONE (2), HLAING THARYAR TOWNSHIP, YANGON."
